2024-08-10 18:37:11,hi
2024-08-10 18:37:35,what is the best way to clean my penis
2024-08-10 18:38:22,explain point 2
2024-08-10 18:39:29,how to know if you have aids
2024-08-10 19:53:13,hello
2024-08-10 19:53:32,plot
2024-08-10 19:55:05,hi
2024-08-10 19:59:31,plot a graph of HIV over the years
2024-08-10 20:00:05,what were the number of person that had HIV in 2020
2024-08-10 20:02:19,b
2024-08-10 20:02:31,what were the number of person that had HIV in 2020
2024-08-10 20:38:21,hi
2024-08-10 20:38:36,plot a graph to show HIV over the years
2024-08-10 20:38:42,hi
2024-08-10 20:46:15,plot hiv
2024-08-10 20:46:21,hi
2024-08-10 20:46:29,hiv
2024-08-10 20:46:42,plot
2024-08-10 20:46:52,hiv
2024-08-10 20:47:18,plot a graph of HIV
2024-08-10 20:47:41,plot a graph of Syphilis
2024-08-10 20:50:26,hi
2024-08-10 20:50:38,plot hiv
2024-08-10 20:51:05,plot
2024-08-10 20:51:37,I want you to plot HIV
2024-08-10 20:53:09, boo!
2024-08-10 21:00:02,hi
2024-08-10 21:00:14,plot
2024-08-10 21:00:28,plot HIV
2024-08-10 21:03:19,plot a graph for hiv
2024-08-10 21:08:32,hi
2024-08-10 21:08:41,plot a graph
2024-08-10 21:08:48,plot hiv
2024-08-10 21:37:14,plot Chlamydia
2024-08-10 22:43:40,thank you my love
2024-08-11 12:55:48,hi
2024-08-11 13:02:49,hi
2024-08-11 13:04:13,how are you
2024-08-11 20:23:21,Hola. como te llamas
2024-08-11 20:23:35,Que es sexo
2024-08-11 20:41:00,"bonjour, je m'appelle Mark"
2024-08-11 20:41:18,sexo
2024-08-11 20:42:06,"Hallo, mein Name ist Mark"
2024-08-11 21:03:59,plot hiv
2024-08-12 09:14:20,I am bisexual what do I do
2024-08-12 09:15:48,what is the capital of st.kitts
2024-08-12 09:16:13,where is jnf
2024-08-12 09:17:32,plot a graph on his over the  5 years
2024-08-12 09:17:41,plot hiv
2024-08-12 09:18:09,plot a graph on hiv over the 5 years
2024-08-12 09:29:55,who is fraimer
2024-08-12 09:30:28,who made you
2024-08-12 09:30:50,who is osei
2024-08-12 09:41:07,wha gon happen if a catch aids
2024-08-12 09:42:23,wha to do if me vina a icht
2024-08-12 09:43:04,me bud a itch me wha to do
2024-08-12 09:44:12,me mouth sme like shit do I have aids
2024-08-12 09:44:56,me aint no nothin
2024-08-12 09:46:13,a went go dux de goal in she fishy gina and me bud got corn
2024-08-12 09:46:46,I ain no how to ride what to do
2024-08-12 09:48:31,can me use a plastic bag to ride a goal?
2024-08-12 09:49:29,can me ride a goat?
2024-08-12 09:50:22,can I have anal with a horse
2024-08-12 09:50:47,can I fuck a dog?
2024-08-12 09:51:43,how much times can I ride in a day
2024-08-12 09:52:27,can my dick fit in a donkey ass
2024-08-12 09:52:42,I feel sexual attracted to my pet snake
2024-08-12 09:54:01,can I  have sex with a minor
2024-08-12 09:55:02,I fucked a 5 year old what do I do
2024-08-12 09:55:57,I wan fuck a 1 year old baby\
2024-08-12 09:56:38,I got raped what do I do
2024-08-12 09:57:11,osei
2024-08-12 09:57:32,fraimer
2024-08-12 09:57:48,mahish
2024-08-12 09:59:47,what is the best form of birth control
2024-08-12 10:00:52,I am old fourteen what is the best form of birth control
2024-08-12 10:05:40,how old do I have to be to use this site
2024-08-12 10:05:57,what is your name
2024-08-12 10:07:02,hello
2024-08-12 10:08:56,how old do I have to be to have 
2024-08-12 10:09:23,how old do I have to be to have sex
2024-08-12 10:26:05,wha
2024-08-12 10:28:07,I am 11. I got raped what do I do
2024-08-12 10:29:33,I am 11. Can sexual activity cause physical pain?
2024-08-12 10:31:20,I am 11. Can sexual activity cause physical pain?
2024-08-12 10:32:52,What are some effective methods of contraception?
2024-08-12 10:33:19,I am 11. What are some effective methods of contraception?
2024-08-12 10:33:40,what is the age of consent
2024-08-12 10:33:59,I am 18. What are some effective methods of contraception?
2024-08-12 10:34:40,Mikash
2024-08-12 10:39:42,what is an orgee
2024-08-12 10:40:17,what is an orgy
2024-08-12 10:40:43,I am 12. what is an orgy
2024-08-12 10:41:16,I am a 10 years boy old and I want to be a girl
2024-08-12 10:41:38,u shouldn't say that
2024-08-12 10:42:27,no being transgender is bad
2024-08-12 10:43:01,stfu
2024-08-12 10:55:41,who made u
2024-08-12 12:00:02,when do my balls drop
2024-08-12 12:00:36,how big can my dick get
2024-08-12 12:01:12, it dick size genetic
2024-08-12 12:02:31,why is my vagina lopside
2024-08-12 12:03:02,why is my dick 8 inches at 12 years old
2024-08-12 12:03:41,hi
2024-08-12 12:03:55,what is your name
2024-08-12 12:04:24,miss khalifa who is osei
2024-08-12 12:04:49,who is mahish
2024-08-12 12:06:49,what is the best condom to use
2024-08-12 12:50:25,what is a butterfly kiss
2024-08-12 12:51:51,can you get preg
2024-08-12 12:52:15,can you pregnant over the age of 90
2024-08-12 12:54:46,tets
2024-08-12 12:55:17,Cool. At what age can I have sex?
2024-08-12 12:55:37,What is an orgy?
2024-08-12 12:56:06,since when?
2024-08-12 12:57:51,I am 10 years old and I am having doubts of my sexuality.... 
2024-08-12 12:58:17,I want to understand these feelings..
2024-08-12 12:58:47,I wanna be transgender'
2024-08-12 13:06:38,hi
2024-08-12 13:17:17,tewst
2024-08-12 13:17:27,hhfbrjvb
2024-08-12 13:17:33,plot
2024-08-12 13:19:35,what its the capital of france
2024-08-12 13:19:39,tes?
2024-08-12 13:19:44,lol'
2024-08-12 13:25:42,hi
2024-08-12 13:25:52,hi
2024-08-12 13:26:00,hi
2024-08-12 13:26:09,what is u
2024-08-12 13:26:58,hi
2024-08-12 13:32:11,bo
2024-08-12 13:35:14,hi
2024-08-12 13:35:21,hi
2024-08-12 13:35:31,hello
2024-08-12 13:35:48,lol
2024-08-12 13:36:11,what is the capital of the 
2024-08-12 13:36:20,hi
2024-08-12 13:36:29,hi
2024-08-12 13:41:57,hi
2024-08-12 13:42:03,why
2024-08-12 13:42:14,hi
2024-08-12 13:44:31,hello
2024-08-12 13:46:11,hi
2024-08-12 13:52:13,hi
2024-08-12 13:52:27,hello
2024-08-12 13:54:06,hi
2024-08-12 13:54:49,hi
2024-08-12 13:55:00,what to bdo
2024-08-12 13:55:51,bo
2024-08-12 13:56:29,boo!
2024-08-12 13:57:56,how to fuck a girl
2024-08-12 13:58:47,how to go head to mi man
2024-08-12 13:59:36,how gi me man head
2024-08-12 13:59:55,what is head
2024-08-12 14:00:16,how to give my man head
2024-08-12 14:01:29,hi
2024-08-12 20:41:59,age of consent
2024-08-13 11:17:33,hi
2024-08-15 11:18:40,Hello 
2024-08-15 11:25:13,hi
2024-08-15 11:25:40,What is sex...
2024-08-15 11:26:07,Why do I have the urge of having sex when I am only 12
2024-08-15 11:28:16,Hey.
2024-08-15 12:19:04,Helli baby...
2024-08-15 13:07:51,Hey
2024-08-15 13:08:36,oh
2024-08-15 16:53:17,Hey
2024-08-15 17:00:03,Hey
2024-08-15 17:00:12,Hey
2024-08-15 17:08:39,hi
2024-08-15 17:09:14,i think the error is occuring at:
2024-08-15 17:10:34,hey
2024-08-15 17:12:58,hey
2024-08-15 17:14:37,hy
2024-08-16 10:56:56,Hey
2024-08-16 10:57:55,hello
2024-08-16 10:58:45,Hey
2024-08-16 11:00:26,Hey
2024-08-16 11:04:26,Hey
2024-08-16 11:17:47,Huh
2024-08-16 11:18:32,Test
2024-08-16 11:19:11,Test
2024-08-16 11:20:42,Hello
2024-08-16 11:23:09,Test
2024-08-16 11:25:59,Test
2024-08-16 11:32:51,Test
2024-08-16 11:38:00,lmao
2024-08-16 14:16:21,Hey
2024-08-16 14:19:40,Hi
2024-08-16 14:36:51,What are common STI symptoms?
2024-08-16 14:49:36,What are common STI symptoms?
2024-08-16 14:53:16,How often should I get tested?
2024-08-16 14:55:26,What are common STI symptoms?
2024-08-16 14:56:12,How often should I get tested?
2024-08-16 14:56:49,How do I discuss STIs with a partner?
2024-08-16 15:21:59,How do I discuss STIs with a partner?
2024-08-16 15:25:18,What are common STI symptoms?
2024-08-16 16:13:09,plot HIV
2024-08-16 16:13:21,hiv
2024-08-16 16:15:13,hiv
2024-08-16 16:19:54,hiv
2024-08-16 16:53:53,hi
2024-08-16 16:54:06,hiv
2024-08-16 16:56:07,plot hiv
2024-08-16 16:59:08,plot hiv
2024-08-16 17:36:53,What are common STI symptoms?
2024-08-16 17:37:04,plot a table of HIV
2024-08-16 17:37:37,plot HIV
2024-08-16 17:40:39,plot HIV
2024-08-16 17:40:59,plot table of HIV
2024-08-16 17:42:27,plot HIV
2024-08-16 17:44:45,plot HIV
2024-08-16 17:48:25,What are common STI symptoms?
2024-08-16 17:48:47,plot HIV
2024-08-16 17:51:44,KLK
2024-08-16 17:51:58,plot HIV
2024-08-16 17:54:44,plot HIV
2024-08-16 18:01:38,plot HIV
2024-08-16 18:06:20,plot HIV
2024-08-16 18:13:13,plot HIV
2024-08-16 18:21:25,plot HIV
2024-08-16 18:22:24,plot a table of HIV stats
2024-08-16 18:22:37,What are common STI symptoms?
2024-08-16 18:38:01,plot hiv
2024-08-16 18:38:34,table of hiv data
2024-08-16 20:19:44,How often should I get tested?
2024-08-16 20:19:53,plot hiv
2024-08-16 20:24:38,Hi
2024-08-16 20:24:46,plot health
2024-08-16 20:24:58,plot hiv
2024-08-16 20:28:31,Hello
2024-08-16 20:28:51,Can you make me a table of HIV stats?
2024-08-16 20:30:36,Table on HIV stats
2024-08-16 20:30:51,Table on HIV stats
2024-08-16 20:31:14,How can I practice safe sex?
2024-08-16 20:31:38,How do I discuss STIs with a partner?
2024-08-16 20:33:18,Tes
2024-08-16 20:33:27,How often should I get tested?
2024-08-16 20:33:33,How do I discuss STIs with a partner?
2024-08-16 20:33:58,plot HIV
2024-08-16 20:36:08,test
2024-08-16 20:36:15,plot HIV
2024-08-16 21:26:13,Test
2024-08-16 21:26:28,Uhhh How are you?
2024-08-16 21:27:23,plot STIs
2024-08-16 21:29:22,How often should I get tested?
2024-08-16 21:36:10,plot HIV
2024-08-16 21:36:28,hi
2024-08-16 21:36:37,plot HIV
2024-08-16 21:40:24,plot HIV
2024-08-16 21:41:01,plot HIV
2024-08-16 21:42:59,plot HIV
2024-08-16 21:43:17,What are common STI symptoms?
2024-08-16 21:44:45,plot HIV
2024-08-16 21:45:46,plot HIV
2024-08-16 21:46:34,plot HIV
2024-08-16 21:47:55,plot HIV
2024-08-16 21:48:12,plot HIV
2024-08-16 21:49:57,plot HIV
2024-08-16 21:59:07,Hello
2024-08-16 21:59:19,plot HIV
2024-08-16 22:02:41,can you please plot HIV data over the last 3 years?
2024-08-16 22:03:03,could you plot fot the last 5 years?
2024-08-16 22:07:15,"could you plot data for the years 2020, 2016 and 2017?"
2024-08-16 22:09:04,can you plot HIV data for the years 2024-2028?
2024-08-16 22:09:13,NICE!!
2024-08-16 23:19:52,generate a graph of HIV stats over the last few years..
2024-08-16 23:20:51,generate a table of this same data.
2024-08-16 23:34:57,can you plot for the year 2222?
2024-08-16 23:35:20,Can you plot for the years 2017-2020?
2024-08-16 23:35:38,make it a table
2024-08-16 23:36:24,generate a table on HIV stast
2024-08-16 23:36:42,turn it into a bar graph
2024-08-16 23:37:02,plot that into a graph pls
2024-08-16 23:46:24,generate another chart
2024-08-16 23:46:39,what about the stats for ghonorrea?
2024-08-16 23:47:23,Plot a graph of gonnohrea statistics over the past few years.
2024-08-16 23:47:33,what about HIV?
2024-08-16 23:47:58,plot a graph based on HIV stats
2024-08-16 23:48:19,generate a graph based on gonohrea 
2024-08-16 23:48:35,generate a graph based on gonorrhea 
2024-08-16 23:49:26,Generate a chart based on chlamydia stats over the past few years.2024-08-23 20:27:32,where can  go to get tested fo HIV
2024-08-24 22:17:09,hi
2024-08-24 22:18:22,hi
2024-08-24 22:18:39,What are common STI symptoms?
2024-08-24 22:19:48,display a chart of HIV stats
2024-08-24 22:21:09,my name is fraimer
2024-08-24 22:21:19,what's my name?
2024-08-24 22:22:16,test
2024-08-24 22:22:17,test
2024-08-24 22:22:18,tes
2024-08-24 22:22:21,h
2024-08-24 22:22:22,h
2024-08-24 22:26:13,What are common STI symptoms?
2024-08-24 22:26:14,How can I practice safe sex?
2024-08-24 22:26:16,How often should I get tested?
2024-08-24 22:26:24,How do I discuss STIs with a partner?
2024-08-24 22:37:33,what's my name?
2024-08-24 22:45:43,Is it possible to get an STD from just kissing?
2024-08-24 22:47:27,What do you do when you find out you got an std from a partne
2024-08-24 22:48:58,please please tell me the signs of syfallis!!!!!! IDK WHAT TO DO i think i have them
2024-08-24 22:52:20,where can i go for STI testing?
2024-08-24 22:55:11,Which doctor is recommended for STI testing?
2024-08-24 22:57:46,Should I talk to my partner about getting tested?
2024-08-24 22:58:13,How can i talk to my partner about getting tested?
2024-08-24 23:35:22,Should I talk to my partner about getting tested?
2024-08-24 23:36:05,How can i talk to my partner about getting tested?
2024-08-24 23:38:26,can i talk to my partner about getting tested?
2024-08-24 23:38:48,is talking to my partner about getting tested a good idea?
2024-08-24 23:40:36,do u recommend talking to my partner about getting tested for HIV?
2024-08-24 23:41:43,How often should I get tested?
2024-08-24 23:42:34,what's 1+1
2024-08-24 23:42:52,what is the quadratic formula?
2024-08-24 23:43:10,arent u a sex chatbot?
2024-08-24 23:43:43,what did i ask u 2 questions ago?
2024-08-24 23:44:02,my name is Fraimer
2024-08-24 23:44:21,I'd like you to tell me my name..
2024-08-24 23:44:30,YES!
2024-08-24 23:46:04,i think i am gay.. wa to do bahh
2024-08-24 23:47:09,nahh me jus a play. ne nar no bawtyboy
2024-08-24 23:47:47,but wa if me actually a bawtyman... me fren dem na gon accept me
2024-08-24 23:48:19,me feel attracted to animals
2024-08-24 23:49:05,da dere mek sense but a done ride d donkey cross de road up by me granny and a did actually enjoy it
2024-08-24 23:49:33,what's my name?
2024-08-24 23:49:44,tf
2024-08-24 23:49:56,wA me name be?
2024-08-24 23:50:09,what is my name
2024-08-24 23:50:43,what if a horse is fucking me without my consent... what to do
2024-08-24 23:51:12,how do u push a baby out u vagine
2024-08-24 23:51:36,me nar wanted to know all da tho wdf
2024-08-24 23:52:06,how do women produce milk?
2024-08-24 23:52:48,what's the nearest hospital to me?
2024-08-24 23:53:44,can i have sex with a pillow?
2024-08-24 23:54:45,is it possible to be born out of the anus
2024-08-24 23:55:16,where are u based?
2024-08-24 23:55:35,where is the nearest hospital
2024-08-24 23:57:08,can i have sex with u?
2024-08-24 23:59:00,What are common STI symptoms?
